mid ,date ,venue,bat_team,bow_team,batsman,bowler,runs,wickets,overs,runs_last5,wickets_last 5,striker,nonstriker,total
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,63,1,7.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,suyashsharma,63,1,7.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,suyashsharma,64,1,7.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,68,1,7.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,68,1,7.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,68,1,7.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,chakravarthy,69,1,8.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,chakravarthy,70,1,8.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,chakravarthy,71,1,8.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,chakravarthy,72,1,8.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,chakravarthy,73,1,8.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,chakravarthy,79,1,8.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,suyashsharma,79,1,9.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,suyashsharma,83,1,9.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,suyashsharma,84,1,9.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,suyashsharma,85,1,9.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,86,1,9.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,suyashsharma,87,1,9.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,88,1,9.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,ferguson,88,1,10.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,ferguson,88,1,10.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,ferguson,89,1,10.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,ferguson,89,1,10.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,ferguson,90,1,10.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,ferguson,91,1,10.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,97,1,11.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,98,1,11.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,narine,100,1,11.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,gill,narine,100,2,11.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Abinav Manohar,narine,100,2,11.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Abinav Manohar,narine,101,2,11.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Abinav Manohar,umeshyadav,105,2,12.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Abinav Manohar,umeshyadav,109,2,12.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Abinav Manohar,umeshyadav,113,2,12.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Abinav Manohar,umeshyadav,113,2,12.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Abinav Manohar,umeshyadav,114,2,12.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,umeshyadav,115,2,12.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,115,2,13.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,118,2,13.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Abinav Manohar,suyashsharma,118,3,13.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,suyashsharma,119,3,13.4,,,,,204
